horizon_days,tau,s,mean,std,pct_0_20,pct_80_100,max_bin_pct,primary_ok,secondary_ok,score,count_0_20,count_20_40,count_40_60,count_60_80,count_80_100
60,-0.2,0.2,7.826134204864502,21.16341781616211,88.95458512824844,3.685559028071064,88.95458512824844,True,False,1070.5480629806334,31594,1150,732,732,1309
60,-0.2,0.25,8.40859317779541,20.562353134155273,87.62282850465975,3.111186192527522,87.62282850465975,True,False,1068.3001233586444,31121,1510,938,843,1105
60,-0.2,0.3,9.082073211669922,20.059236526489258,86.24320747810907,2.610017737984627,86.24320747810907,True,False,1066.6629928923219,30631,1896,1116,947,927
45,-0.2,0.2,6.886061668395996,19.779747009277344,90.21595292395192,3.0830306613734266,90.21595292395192,True,False,1061.765812783808,32042,1057,675,648,1095
45,-0.2,0.25,7.450992584228516,19.253429412841797,89.01934284990286,2.610017737984627,89.01934284990286,True,False,1059.8578219522908,31617,1378,855,740,927
45,-0.2,0.3,8.106955528259277,18.82417106628418,87.6706929076217,2.2186558549427033,87.6706929076217,True,False,1058.6688182787418,31138,1751,1046,794,788
60,-0.3,0.2,6.540297508239746,19.239978790283203,90.70304361291775,2.8606019652560746,90.70304361291775,True,False,1058.3574523037546,32215,996,678,612,1016
60,-0.3,0.25,7.097918510437012,18.739866256713867,89.52614241067658,2.432637891713827,89.52614241067658,True,False,1056.6058267646065,31797,1328,838,690,864
60,-0.3,0.3,7.746345043182373,18.33753776550293,88.20001689331869,2.049722668018132,88.20001689331869,True,False,1055.5373946022141,31326,1711,995,757,728
30,-0.2,0.2,5.853944778442383,18.1345272064209,91.5730495255793,2.5339978038685698,91.5730495255793,True,False,1051.6335843103936,32524,945,645,503,900
30,-0.2,0.25,6.393383026123047,17.69660186767578,90.49469268237745,2.1482670270574653,90.49469268237745,True,False,1050.1365836830591,32141,1246,786,581,763
45,-0.3,0.2,5.714917182922363,17.89055824279785,91.79547822169664,2.4439001041754653,91.79547822169664,True,False,1050.1012130964682,32603,913,626,507,868
30,-0.2,0.3,7.02271842956543,17.35364532470703,89.39381141425233,1.7709829095925895,89.39381141425233,True,False,1049.1453981188752,31750,1539,939,660,629
45,-0.3,0.25,6.251473903656006,17.461950302124023,90.73964580341809,2.0722470929414083,90.73964580341809,True,False,1048.6423528001433,32228,1204,763,586,736
45,-0.3,0.3,6.87797212600708,17.129619598388672,89.59934679167722,1.6977785285919418,89.59934679167722,True,False,1047.746529728858,31823,1520,919,652,603
60,-0.4,0.2,5.412248611450195,17.364822387695312,92.2544133795084,2.274966917250894,92.2544133795084,True,False,1046.8446654762188,32766,872,580,491,808
60,-0.4,0.25,5.939933776855469,16.960124969482422,91.19858096122984,1.9089450122476561,91.19858096122984,False,False,45.510988898429936,32391,1168,722,558,678
60,-0.4,0.3,6.557244300842285,16.65294075012207,90.02731086521946,1.5513697665906467,90.02731086521946,False,False,44.788762651981536,31975,1487,875,629,551
30,-0.3,0.2,4.817326068878174,16.305479049682617,93.04558380493847,1.9962271588253513,93.04558380493847,False,False,40.47803860229996,33047,820,523,418,709
30,-0.3,0.25,5.324471950531006,15.956655502319336,91.99819804600614,1.6161274882450658,91.99819804600614,False,False,39.40120695383561,32675,1120,650,498,574
45,-0.4,0.2,4.695223808288574,16.064708709716797,93.23704141678633,1.9089450122476561,93.23704141678633,False,False,38.995447144045315,33115,810,510,404,678
30,-0.3,0.3,5.9197797775268555,15.703749656677246,90.99304558380494,1.3036010924346089,90.99304558380494,False,False,38.8293037920159,32318,1394,796,546,463
45,-0.4,0.25,5.198674201965332,15.724676132202148,92.26567559197004,1.5485542134752373,92.26567559197004,False,False,37.906259282515954,32770,1067,649,481,550
45,-0.4,0.3,5.790447235107422,15.482041358947754,91.19858096122984,1.255736689472647,91.19858096122984,False,False,37.46736252298158,32391,1368,777,535,446
60,-0.5,0.2,4.432836532592773,15.55534553527832,93.55519891882761,1.751274037784723,93.55519891882761,False,False,35.97280279534871,33228,794,485,388,622
60,-0.5,0.25,4.926153659820557,15.237244606018066,92.63451305008869,1.4134076639355801,92.63451305008869,False,False,34.96511764393723,32901,1054,599,461,502
60,-0.5,0.3,5.50745153427124,15.018024444580078,91.65751611904159,1.1769012022411802,91.65751611904159,False,False,34.609507306099985,32554,1324,720,501,418
30,-0.4,0.2,3.923611879348755,14.55325984954834,94.2647183039108,1.4753498324745897,94.2647183039108,False,False,29.976930776305494,33480,740,406,367,524
30,-0.4,0.25,4.39403772354126,14.282407760620117,93.40597460371089,1.1994256271644566,93.40597460371089,False,False,29.205489826554157,33175,989,510,417,426
30,-0.4,0.3,4.950892925262451,14.111297607421875,92.51062871301066,0.9629191654700565,92.51062871301066,False,False,29.008778489568776,32857,1242,612,464,342
45,-0.5,0.2,3.817026376724243,14.314935684204102,94.41394261902751,1.4190387701663991,94.41394261902751,False,False,28.579774572159387,33533,718,402,360,504
45,-0.5,0.25,4.283332824707031,14.053251266479492,93.5833544499817,1.160007883548723,93.5833544499817,False,False,27.842909765964492,33238,951,508,408,412
45,-0.5,0.3,4.836102485656738,13.892539024353027,92.67674634681984,0.9094236562772757,92.67674634681984,False,False,27.695372431222566,32916,1220,607,451,323
